timestamp,run_stamp,set_number,image_in_set,global_image_number,avg_temp_C,filename
2026-04-16T12:10:58,20260416_121042,1,1,1,28.67,01_avg_28.67C.png
2026-04-16T12:11:02,20260416_121042,1,2,2,28.54,02_avg_28.54C.png
2026-04-16T12:11:06,20260416_121042,1,3,3,28.58,03_avg_28.58C.png
2026-04-16T12:11:10,20260416_121042,1,4,4,28.57,04_avg_28.57C.png
2026-04-16T12:11:14,20260416_121042,1,5,5,28.58,05_avg_28.58C.png
2026-04-16T12:11:18,20260416_121042,1,6,6,28.54,06_avg_28.54C.png
2026-04-16T12:11:22,20260416_121042,1,7,7,28.74,07_avg_28.74C.png
2026-04-16T12:11:26,20260416_121042,1,8,8,28.75,08_avg_28.75C.png
2026-04-16T12:11:30,20260416_121042,1,9,9,28.72,09_avg_28.72C.png
2026-04-16T12:11:35,20260416_121042,1,10,10,28.71,10_avg_28.71C.png
2026-04-16T12:11:39,20260416_121042,1,11,11,28.87,11_avg_28.87C.png
2026-04-16T12:11:43,20260416_121042,1,12,12,28.78,12_avg_28.78C.png
2026-04-16T12:11:47,20260416_121042,1,13,13,28.79,13_avg_28.79C.png
2026-04-16T12:11:51,20260416_121042,1,14,14,28.77,14_avg_28.77C.png
2026-04-16T12:11:55,20260416_121042,1,15,15,28.71,15_avg_28.71C.png
